"product_name","revenue","rank"
Canon imageCLASS 2200 Advanced Copier,35699.9,1
Martin Yale Chadless Opener Electric Letter Opener,11825.902,2
GBC DocuBind TL300 Electric Binding System,10943.277,3
Hewlett Packard LaserJet 3310 Copier,9239.846,4
Samsung Galaxy Mega 6.3,9239.779,5
Cubify CubeX 3D Printer Triple Head Print,7999.98,6
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7371.742,7
HON 5400 Series Task Chairs for Big and Tall,7220.0938,8
GBC DocuBind P400 Electric Binding System,7077.148,9
Lexmark MX611dhe Monochrome Laser Printer,5609.967,10
"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,11
Fellowes PB300 Plastic Comb Binding Machine,5043.87,12
Cubify CubeX 3D Printer Double Head Print,4799.984,13
Canon Imageclass D680 Copier / Fax,4759.9316,14
Adjustable Depth Letter/Legal Cart,4754.2515,15
Global Troy Executive Leather Low-Back Tilter,4659.1143,16
GBC DocuBind 300 Electric Binding Machine,4628.624,17
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,4346.777,18
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),4129.882,19
Tennsco Single-Tier Lockers,4053.6719,20
Canon Image Class D660 Copier,3959.934,21
Tennsco 16-Compartment Lockers with Coat Rack,3887.34,22
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,3636.468,23
Canon PC1080F Personal Copier,3599.94,24
Polycom CX600 IP Phone VoIP phone,3599.4001,25
GBC DocuBind TL200 Manual Binding Machine,3583.68,26
Tennsco Double-Tier Lockers,3510.312,27
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.8398,28
Hon 5100 Series Wood Tables,3433.564,29
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,30
Logitech P710e Mobile Speakerphone,3398.868,31
Bady BDG101FRU Card Printer,3359.958,32
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3357.72,33
Polycom SoundPoint IP 450 VoIP phone,3342.728,34
Global Commerce Series Low-Back Swivel/Tilt Chairs,3340.74,35
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,3299.5,36
Wilson Electronics DB Pro Signal Booster,3293.6,37
Bretford Rectangular Conference Table Tops,3253.5244,38
Global Ergonomic Managers Chair,3130.9539,39
Samsung Galaxy S4 Mini,3101.934,40
"Global Leather and Oak Executive Chair, Black",3069.996,41
Google Nexus 5,3059.8298,42
Samsung Galaxy S4,3004.752,43
Bush Advantage Collection Racetrack Conference Table,2969.47,44
GE 30524EE4,2939.85,45
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,2799.86,46
Chromcraft Round Conference Tables,2788.64,47
Balt Solid Wood Round Tables,2768.238,48
Maxell iVDR EX 500GB Cartridge,2755.4,49
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",2733.8398,50
"3.6 Cubic Foot Counter Height Office Refrigerator",2710.504,51
Letter Size Cart,2685.768,52
Hon 94000 Series Round Tables,2665.62,53
Polycom VoiceStation 500 Conference phone,2595.56,54
Plantronics Savi W720 Multi-Device Wireless Headset System,2531.7002,55
GuestStacker Chair with Chrome Finish Legs,2527.9678,56
Hoover Shoulder Vac Commercial Portable Vacuum,2504.74,57
Hon GuestStacker Chair,2493.3699,58
ClearOne CHATAttach 160 - speaker phone,2479.96,59
DMI Arturo Collection Mission-style Design Wood Chair,2476.072,60
Apple iPhone 5,2469.354,61
Okidata MB491 Multifunction Printer,2395.2,62
Global Commerce Series High-Back Swivel/Tilt Chairs,2365.334,63
GBC DocuBind 200 Manual Binding Machine,2357.488,64
"Lifetime Advantage Folding Chairs, 4/Carton",2355.2642,65
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2352.1702,66
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2349.468,67
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2340.6719,68
SAFCO Arco Folding Chair,2292.46,69
Ibico Hi-Tech Manual Binding System,2287.425,70
GBC ProClick 150 Presentation Binding System,2275.056,71
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2256.2769,72
Logitech diNovo Edge Keyboard,2249.91,73
Deluxe Rollaway Locking File with Drawer,2245.752,74
Ibico Ibimaster 300 Manual Binding System,2207.94,75
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2188.44,76
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2176.592,77
SAFCO Boltless Steel Shelving,2159.16,78
WD My Passport Ultra 2TB Portable External Hard Drive,2142.0,79
Logitech G19 Programmable Gaming Keyboard,2107.83,80
Fellowes Stor/Drawer Steel Plus Storage Drawers,2099.46,81
"Bevis Oval Conference Table, Walnut",2087.84,82
Hon Multipurpose Stacking Arm Chairs,2079.3599,83
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,2056.432,84
Hon Pagoda Stacking Chairs,2054.272,85
Bretford CR4500 Series Slim Rectangular Table,2019.6179,86
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,2007.24,87
Avanti 4.4 Cu. Ft. Refrigerator,1990.78,88
"Bush Andora Bookcase, Maple/Graphite Gray Finish",1961.8367,89
Wilson SignalBoost 841262 DB PRO Amplifier Kit,1943.73,90
Samsung Galaxy Note 2,1931.958,91
Iceberg Mobile Mega Data/Printer Cart,1925.28,92
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1924.16,93
Ibico EPK-21 Electric Binding System,1889.99,94
"Global Wood Trimmed Manager's Task Chair, Khaki",1865.09,95
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1854.2479,96
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1784.25,97
"24 Capacity Maxi Data Binder Racks, Pearl",1768.62,98
"Dual Level, Single-Width Filing Carts",1767.6841,99
Aastra 6757i CT Wireless VoIP phone,1723.52,100
Imation Bio 2GB USB Flash Drive Imation Corp,1705.34,101
Fellowes Powershred HS-440 4-Sheet High Security Shredder,1704.89,102
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1669.6,103
Toshiba IPT2010-SD IP Telephone,1667.8801,104
Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,105
Mitel MiVoice 5330e IP Phone,1649.9401,106
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1649.3704,107
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7,108
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",1632.0919,109
Nortel Networks T7316 E Nt8 B27,1631.76,110
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1628.82,111
Motorola L703CM,1622.296,112
Standard Rollaway File with Lock,1621.71,113
Fellowes Officeware Wire Shelving,1616.94,114
"Bush Cubix Conference Tables, Fully Assembled",1616.86,115
Global Comet Stacking Armless Chair,1614.87,116
Global Executive Mid-Back Manager's Chair,1571.292,117
Plantronics Calisto P620-M USB Wireless Speakerphone System,1567.9199,118
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1549.464,119
"Global Airflow Leather Mesh Back Chair, Black",1539.996,120
Plantronics Audio 995 Wireless Stereo Headset,1539.3,121
Bevis 36 x 72 Conference Tables,1518.778,122
"Fellowes Mobile File Cart, Black",1517.192,123
Avanti 1.7 Cu. Ft. Refrigerator,1514.7,124
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1501.83,125
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1497.666,126
Imation Bio 8GB USB Flash Drive Imation Corp,1496.16,127
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1487.5,128
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1484.91,129
"Bevis Round Conference Table Top, X-Base",1470.178,130
Aastra 57i VoIP phone,1454.49,131
Polycom VVX 310 VoIP phone,1439.92,132
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",1437.81,133
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92,134
KI Adjustable-Height Table,1401.4741,135
Motorola Moto X,1359.96,136
Fellowes Staxonsteel Drawer Files,1352.19,137
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1348.704,138
Safco Contoured Stacking Chairs,1335.04,139
Logitech Wireless Headset h800,1319.8679,140
Nokia Lumia 925,1310.296,141
Premier Electric Letter Opener,1274.46,142
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",1270.5059,143
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1263.48,144
Nortel Meridian M3904 Professional Digital phone,1262.718,145
Hewlett Packard 310 Color Digital Copier,1259.958,146
Apple iPhone 5S,1253.978,147
Kensington 7 Outlet MasterPiece Power Center,1245.86,148
"Situations Contoured Folding Chairs, 4/Set",1213.7579,149
Global Deluxe High-Back Manager's Chair,1201.116,150
Sharp AL-1530CS Digital Copier,1199.976,151
Xerox 1915,1195.29,152
Jabra SPEAK 410 Multidevice Speakerphone,1194.7421,153
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1194.165,154
"Global High-Back Leather Tilter, Burgundy",1180.704,155
Pyle PMP37LED,1171.078,156
GBC DocuBind P100 Manual Binding Machine,1161.86,157
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1159.056,158
Hoover Upright Vacuum With Dirt Cup,1158.12,159
"Hot File 7-Pocket, Floor Stand",1142.208,160
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1141.938,161
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1136.604,162
Global Leather Executive Chair,1123.168,163
Geemarc AmpliPOWER60,1113.6,164
Vtech CS6719,1113.484,165
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,1095.8401,166
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1095.84,167
Hoover WindTunnel Plus Canister Vacuum,1089.75,168
Global Super Steno Chair,1084.574,169
"Bush Westfield Collection Bookcases, Fully Assembled",1074.4272,170
"Global Fabric Manager's Chair, Dark Gray",1070.388,171
Hon 2111 Invitation Series Straight Table,1064.376,172
Fellowes High-Stak Drawer Files,1057.14,173
"O'Sullivan Elevations Bookcase, Cherry Finish",1054.3889,174
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1048.35,175
Chromcraft Rectangular Conference Tables,1042.6681,176
"3D Systems Cube Printer, 2nd Generation, White",1039.992,177
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1031.5859,178
Easy-staple paper,1026.0759,179
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",1022.42395,180
Fellowes PB200 Plastic Comb Binding Machine,1019.94,181
"Trav-L-File Heavy-Duty Shuttle II, Black",1010.82404,182
Xerox 1908,1007.64,183
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,1000.692,184
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,989.934,185
Kensington Expert Mouse Optical USB Trackball for PC or Mac,987.896,186
Office Star - Mesh Screen back chair with Vinyl seat,982.35,187
Hon Every-Day Series Multi-Task Chairs,977.496,188
Logitech G13 Programmable Gameboard with LCD Display,975.87805,189
Ibico EB-19 Dual Function Manual Binding System,968.744,190
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",942.338,191
Satellite Sectional Post Binders,941.997,192
"Bevis Round Bullnose 29"" High Table Top",934.956,193
"Bevis Traditional Conference Table Top, Plinth Base",933.408,194
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,930.32,195
Canon PC-428 Personal Copier,919.954,196
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",915.90405,197
Compact Automatic Electric Letter Opener,906.756,198
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",901.502,199
Hewlett Packard 610 Color Digital Copier / Printer,899.982,200
Sensible Storage WireTech Storage Systems,894.34796,201
ClearOne Communications CHAT 70 OC Speaker Phone,890.344,202
"Bush Westfield Collection Bookcases, Medium Cherry Finish",887.67377,203
Global Comet Stacking Arm Chair,887.271,204
Sharp 1540cs Digital Laser Copier,879.984,205
Logitech G700s Rechargeable Gaming Mouse,879.912,206
Digium D40 VoIP phone,877.1321,207
Panasonic KX-TG9471B,862.356,208
"Global Leather Task Chair, Black",854.90497,209
Hon Deluxe Fabric Upholstered Stacking Chairs,853.93,210
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",849.1,211
Xerox 1888,843.296,212
Xerox 189,838.8,213
Safco Industrial Wire Shelving System,837.016,214
"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,215
Bevis 44 x 96 Conference Tables,823.6,216
Bevis Round Conference Table Top & Single Column Base,819.504,217
Global Deluxe Steno Chair,815.988,218
Tennsco Regal Shelving Units,811.28,219
Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,809.89197,220
Carina Double Wide Media Storage Towers in Natural & Black,809.8,221
Xerox 1919,803.40405,222
Executive Impressions Supervisor Wall Clock,799.89996,223
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",793.84,224
GBC DocuBind P50 Personal Binding Machine,793.352,225
Global Low Back Tilter Chair,787.644,226
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",782.94,227
"Hon Metal Bookcases, Putty",780.78,228
Logitech Wireless Performance Mouse MX for PC and Mac,779.922,229
Logitech Illuminated - Keyboard,779.87006,230
Hon Valutask Swivel Chairs,777.546,231
"Carina Mini System Audio Rack, Model AR050B",776.86,232
Nortel Meridian M5316 Digital phone,776.85,233
Space Solutions Commercial Steel Shelving,775.8,234
"Tenex ""The Solids"" Textured Chair Mats",769.56,235
Xerox 1891,762.996,236
"Plantronics CS 50-USB - headset - Convertible, Monaural",761.544,237
GBC Ibimaster 500 Manual ProClick Binding System,760.98,238
AT&T 841000 Phone,759.0,239
Bush Advantage Collection Round Conference Table,744.1,240
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,743.834,241
Harbour Creations 67200 Series Stacking Chairs,740.272,242
Multicolor Computer Printout Paper,733.94995,243
O'Sullivan Plantations 2-Door Library in Landvery Oak,731.5672,244
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",721.44,245
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,719.91003,246
"Bush Andora Conference Table, Maple/Graphite Gray Finish",718.116,247
GBC Recycled Regency Composition Covers,717.36,248
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,712.692,249
"Sauder Mission Library with Doors, Fruitwood Finish",712.5312,250
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,700.704,251
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,696.141,252
Cisco CP-7937G Unified IP Conference Station Phone,695.7,253
Plantronics S12 Corded Telephone Headset System,689.856,254
Space Solutions HD Industrial Steel Shelving.,689.82,255
Xerox 1917,684.74,256
Hon Mobius Operator's Chair,664.146,257
Xerox 1893,664.03796,258
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,663.936,259
"Bush Cubix Collection Bookcases, Fully Assembled",662.94,260
Logitech Wireless Marathon Mouse M705,659.86804,261
SanDisk Cruzer 64 GB USB Flash Drive,653.76,262
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,652.995,263
Okidata C610n Printer,649.0,264
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,265
iHome FM Clock Radio with Lightning Dock,643.90796,266
"Sauder Camden County Collection Libraries, Planked Cherry Finish",643.888,267
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",643.56805,268
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,638.73,269
Green Bar Computer Printout Paper,637.536,270
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",633.456,271
APC 7 Outlet Network SurgeArrest Surge Protector,627.744,272
LG G3,627.168,273
Premier Automatic Letter Opener,624.96204,274
Belkin 5 Outlet SurgeMaster Power Centers,621.072,275
O'Sullivan Living Dimensions 2-Shelf Bookcases,616.998,276
"Belkin 325VA UPS Surge Protector, 6'",604.9,277
Mitel 5320 IP Phone VoIP phone,604.768,278
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",603.82,279
SAFCO Folding Chair Trolley,602.728,280
Lexmark 20R1285 X6650 Wireless All-in-One Printer,600.0,281
Swingline SM12-08 MicroCut Jam Free Shredder,599.985,282
GBC VeloBinder Manual Binding System,597.434,283
Hewlett-Packard Deskjet 5550 Printer,597.132,284
Economy Rollaway Files,594.72,285
Avaya 5420 Digital phone,593.95605,286
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",592.74,287
Microsoft Wireless Mobile Mouse 4000,591.852,288
GBC Therma-A-Bind 250T Electric Binding System,590.352,289
Carina Media Storage Towers in Natural & Black,585.408,290
"Global Geo Office Task Chair, Gray",583.05597,291
Fellowes Super Stor/Drawer Files,581.58,292
Xerox 1906,581.21594,293
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,579.136,294
AT&T CL83451 4-Handset Telephone,576.77203,295
Bevis Boat-Shaped Conference Table,576.64197,296
DYMO CardScan Personal V9 Business Card Scanner,575.964,297
Sony 64GB Class 10 Micro SDHC R40 Memory Card,575.84,298
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,569.058,299
Panasonic Business Telephones KX-T7736,546.06,300
Plantronics Voyager Pro HD - Bluetooth Headset,545.916,301
Hon 4-Shelf Metal Bookcases,545.292,302
Kensington 4 Outlet MasterPiece Compact Power Control Center,536.71204,303
Motorola HK250 Universal Bluetooth Headset,533.36804,304
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,532.72,305
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,531.19604,306
Tennsco 6- and 18-Compartment Lockers,530.34,307
Razer Kraken PRO Over Ear PC and Music Headset,527.934,308
Novimex Fabric Task Chair,524.428,309
AT&T 1080 Corded phone,520.562,310
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,520.05,311
Microsoft Sculpt Comfort Mouse,519.35,312
Xerox 1945,516.474,313
Recycled Steel Personal File for Hanging File Folders,515.07,314
Hon Comfortask Task/Swivel Chairs,512.91003,315
GBC Twin Loop Wire Binding Elements,512.51196,316
BPI Conference Tables,511.175,317
Novimex Turbo Task Chair,511.05603,318
Grandstream GXP1160 VoIP phone,507.994,319
Socket Bluetooth Cordless Hand Scanner (CHS),506.28,320
Xerox 1940,505.63202,321
Adtran 1202752G1,503.96002,322
VTech DS6151,503.96,323
BlackBerry Q10,503.96,323
"Padded Folding Chairs, Black, 4/Carton",502.07602,325
Bestar Classic Bookcase,499.94998,326
Cisco SPA301,499.168,327
Belkin Premiere Surge Master II 8-outlet surge protector,495.516,328
High-Back Leather Manager's Chair,493.962,329
"Hunt PowerHouse Electric Pencil Sharpener, Blue",493.74002,330
Global Highback Leather Tilter in Burgundy,491.346,331
Eureka The Boss Cordless Rechargeable Stick Vac,489.408,332
Office Star - Contemporary Task Swivel Chair,488.31198,333
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",482.664,334
Xerox 1885,480.4,335
Brother DCP1000 Digital 3 in 1 Multifunction Machine,479.984,336
Logitech G600 MMO Gaming Mouse,479.94,337
Kensington Orbit Wireless Mobile Trackball for PC and Mac,479.92,338
Global Deluxe Office Fabric Chairs,479.9,339
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",477.3,340
Logitech G105 Gaming Keyboard,474.96002,341
"Belkin 19"" Vented Equipment Shelf, Black",473.616,342
